id;parent_id;person_type;name;begin;end;wiki_url
de.05558012;de.05558;Stadt;Coesfeld;;;Coesfeld
de.05558016;de.05558;Stadt;Dülmen;;;Dülmen
de.05558020;de.05558;Gemeinde;Havixbeck;;;Havixbeck
de.05558024;de.05558;Stadt;Lüdinghausen;;;Lüdinghausen
de.05558028;de.05558;Gemeinde;Nordkirchen;;;Nordkirchen
de.05558032;de.05558;Gemeinde;Nottuln;;;Nottuln
de.05558036;de.05558;Stadt;Olfen;;;Olfen
de.05558040;de.05558;Gemeinde;Rosendahl;;;Rosendahl
de.05558044;de.05558;Gemeinde;Senden;;;Senden
de.05562001;de.05562;Kreisverwaltung;Recklinghausen;;;Kreisverwaltung_Recklinghausen
de.05562004;de.05562;Stadt;Castrop-Rauxel;;;Castrop-Rauxel
de.05562008;de.05562;Stadt;Datteln;;;Datteln
de.05562012;de.05562;Stadt;Dorsten;;;Dorsten
de.05562014;de.05562;Stadt;Gladbeck;;;Gladbeck
de.05562016;de.05562;Stadt;Haltern am See;;;Haltern_am_See
de.05562020;de.05562;Stadt;Herten;;;Herten
de.05562024;de.05562;Stadt;Marl;;;Marl
de.05562028;de.05562;Stadt;Oer-Erkenschwick;;;Oer-Erkenschwick
de.05562032;de.05562;Stadt;Recklinghausen;;;Recklinghausen
de.05562036;de.05562;Stadt;Waltrop;;;Waltrop
de.05566001;de.05566;Kreisverwaltung;Steinfurt;;;Kreisverwaltung_Steinfurt
de.05566004;de.05566;Gemeinde;Altenberge;;;Altenberge
de.05566008;de.05566;Stadt;Emsdetten;;;Emsdetten
de.05566012;de.05566;Stadt;Greven;;;Greven
de.05566016;de.05566;Stadt;Hörstel;;;Hörstel
de.05566020;de.05566;Gemeinde;Hopsten;;;Hopsten
de.05566024;de.05566;Stadt;Horstmar;;;Horstmar
de.05566028;de.05566;Stadt;Ibbenbüren;;;Ibbenbüren
de.05566032;de.05566;Gemeinde;Ladbergen;;;Ladbergen
de.05566036;de.05566;Gemeinde;Laer;;;Laer
de.05566040;de.05566;Stadt;Lengerich;;;Lengerich
de.05566044;de.05566;Gemeinde;Lienen;;;Lienen
de.05566048;de.05566;Gemeinde;Lotte;;;Lotte
de.05566052;de.05566;Gemeinde;Metelen;;;Metelen
de.05566056;de.05566;Gemeinde;Mettingen;;;Mettingen
de.05566060;de.05566;Gemeinde;Neuenkirchen;;;Neuenkirchen
de.05566064;de.05566;Gemeinde;Nordwalde;;;Nordwalde
de.05566068;de.05566;Stadt;Ochtrup;;;Ochtrup
de.05566072;de.05566;Gemeinde;Recke;;;Recke
de.05566076;de.05566;Stadt;Rheine;;;Rheine
de.05566080;de.05566;Gemeinde;Saerbeck;;;Saerbeck
de.05566084;de.05566;Stadt;Steinfurt;;;Steinfurt
